"entity_type","bundle",deleted,entity_id,revision_id,"language",delta,"field_copy_of_book_used_value","field_copy_of_book_used_format"
"node","book",0,2293,2293,"und",0,"עותק בתל אביב - יפה","filtered_html"
"node","book",0,2294,2294,"und",0,"עותק בספריה הלאומית. העותק עליו עבדתי: חתוך מעט בשולים.","filtered_html"
"node","book",0,2296,2296,"und",0,"עותק בספריה הלאומית","filtered_html"
"node","book",0,2300,2300,"und",0,"עותק בספריה הלאומית","filtered_html"
"node","book",0,2302,2302,"und",0,"עותק בבר אילן","filtered_html"
"node","book",0,2303,2303,"und",0,"עותק בספרית בר אילן","filtered_html"
"node","book",0,2305,2305,"und",0,"ספריית אוניברסיטת תל אביב,

אוסף יפה 296.317 יהו","filtered_html"
"node","book",0,2307,2307,"und",0,"22V11695","filtered_html"
"node","book",0,2309,2309,"und",0,"בר-אילן:

A175 אבן-עז.יס תק\"ל","filtered_html"
"node","book",0,2311,2311,"und",0,"ספריית אוניברסיטת בר אילן 
A952.93 היש.יס תש\"ל","filtered_html"
"node","book",0,2312,2312,"und",0,"R /8= 71 A 3775 
(S 71 A 3775)","filtered_html"
"node","book",0,2313,2313,"und",0,"עותק בתל אביב","filtered_html"
"node","book",0,2316,2316,"und",0,"ספריית אוניברסיטת תל אביב, מהלמן:

892.4113 אבן","filtered_html"
"node","book",0,2317,2317,"und",0,"עותק בספריה הלאומית","filtered_html"
"node","book",0,2319,2319,"und",0,"עותק בתל אביב","filtered_html"
"node","book",0,2320,2320,"und",0,"עותק בתל אביב","filtered_html"
"node","book",0,2321,2321,"und",0,"עותק בספריה הלאומית","filtered_html"
"node","book",0,2322,2322,"und",0,"R 68 A 1547 הלאומית העברית","filtered_html"
"node","book",0,2324,2324,"und",0,"עותק בספריה הלאומית","filtered_html"
"node","book",0,2325,2325,"und",0,"עותק בבית אריאלה","filtered_html"
"node","book",0,2326,2326,"und",0,"עותק בספריה הלאומית - עותק מס' 1","filtered_html"
"node","book",0,2327,2327,"und",0,"עותק בספריה הלאומית - עותק מס' 1","filtered_html"
"node","book",0,2328,2328,"und",0,"עותק בספריה הלאומית","filtered_html"
"node","book",0,2329,2329,"und",0,"עותק בספריה הלאומית","filtered_html"
"node","book",0,2330,2330,"und",0,"עותק בספריה הלאומית","filtered_html"
"node","book",0,2331,2331,"und",0,"עותק בספריה הלאומית","filtered_html"
"node","book",0,2333,2333,"und",0,"עותק בספרית בר אילן","filtered_html"
"node","book",0,2334,2334,"und",0,"עותק בספריה הלאומית","filtered_html"
"node","book",0,2335,2335,"und",0,"עותק בספרית בר אילן","filtered_html"
"node","book",0,2336,2336,"und",0,"עותק בבר-אילן: S T380.7 = 3,  תקס\"ה (כולל רק 6 ספרי נביאים, בנוסף להקדמה הכללית)","filtered_html"
"node","book",0,2337,2337,"und",0,"עותק באוניברסיטת בר אילן","filtered_html"
"node","book",0,2338,2338,"und",0,"S 36 A 2240","filtered_html"
