"entity_type","bundle",deleted,entity_id,revision_id,"language",delta,"field_pages_number_value","field_pages_number_format"
"node","book",0,2338,2338,"und",0,"164 ע'",NULL
"node","book",0,2339,2339,"und",0,"[47] עמ'",NULL
"node","book",0,2340,2340,"und",0,"כד' דף",NULL
"node","book",0,2341,2341,"und",0,"צא' דף",NULL
"node","book",0,2342,2342,"und",0,"[1] עמ', קנו ד' [1] עמ'",NULL
"node","book",0,2343,2343,"und",0,"10ע', מ ד'",NULL
"node","book",0,2344,2344,"und",0,"[32] ד'",NULL
"node","book",0,2345,2345,"und",0,"[4] ע' + י ד' + מב ד'",NULL
"node","book",0,2346,2346,"und",0,"[1], כט ד' כולל עמוד שער",NULL
"node","book",0,2347,2347,"und",0,"רצט ד'",NULL
"node","book",0,2348,2348,"und",0,"ח, רד ד' לא כולל שער",NULL
"node","book",0,2349,2349,"und",0,"[4], ריח ד'",NULL
"node","book",0,2350,2350,"und",0,"קמד ד'",NULL
"node","book",0,2351,2351,"und",0,"[1], קכה, [1] ד' כולל שער",NULL
"node","book",0,2352,2352,"und",0,"[4], כח ד' כולל שער",NULL
"node","book",0,2353,2353,"und",0,"[69] עמ'",NULL
"node","book",0,2354,2354,"und",0,"מח' ד' [1] עמ'",NULL
"node","book",0,2355,2355,"und",0,"[8], ק, [4] ד' כולל שער",NULL
"node","book",0,2356,2356,"und",0,"כו' דפים",NULL
"node","book",0,2357,2357,"und",0,"[10] עמ', עא' דפים, [1] עמ'",NULL
"node","book",0,2358,2358,"und",0,"ל ד' , [1] עמ'",NULL
"node","book",0,2359,2359,"und",0,"[8] ד' כולל שער",NULL
"node","book",0,2360,2360,"und",0,"קט ד' כולל שער",NULL
"node","book",0,2361,2361,"und",0,"[10] עמ', יא-פז ד', [4] עמ'",NULL
"node","book",0,2362,2362,"und",0,"[2], כ ד'",NULL
"node","book",0,2363,2363,"und",0,"לב' ד' [3] עמ'",NULL
"node","book",0,2364,2364,"und",0,"14, 139 ד'",NULL
"node","book",0,2365,2365,"und",0,"[140] דפים",NULL
"node","book",0,2366,2366,"und",0,"[6] ע', קי ד', [11] ע'",NULL
"node","book",0,2367,2367,"und",0,"לב' דפים, [2] עמ' + [3] עמודי שרטוטים מודבקים בסוף",NULL
"node","book",0,2368,2368,"und",0,"[2], IIII,  50 ע' כולל שער",NULL
"node","book",0,2369,2369,"und",0,"[2], מג ד' כולל שער",NULL
"node","book",0,2370,2370,"und",0,"[32] ע'",NULL
