menu_name,mlid,plid,link_path,router_path,link_title,options,module,hidden,external,has_children,expanded,weight,depth,customized,p1,p2,p3,p4,p5,p6,p7,p8,p9,updated
management,283,202,admin/config/search/path/update_bulk,admin/config/search/path/update_bulk,Bulk update,b'a:0:{}',system,-1,0,0,0,30,5,0,1,7,43,202,283,0,0,0,0,0
management,284,274,admin/config/search/metatags/config,admin/config/search/metatags/config,Defaults,b'a:0:{}',system,-1,0,1,0,-10,5,0,1,7,43,274,284,0,0,0,0,0
management,285,202,admin/config/search/path/delete_bulk,admin/config/search/path/delete_bulk,Delete aliases,b'a:0:{}',system,-1,0,0,0,40,5,0,1,7,43,202,285,0,0,0,0,0
management,286,277,admin/config/search/xmlsitemap/list,admin/config/search/xmlsitemap/list,List,b'a:0:{}',system,-1,0,0,0,-10,5,0,1,7,43,277,286,0,0,0,0,0
management,287,276,admin/config/search/search_api/overview,admin/config/search/search_api/overview,Overview,b'a:0:{}',system,-1,0,0,0,-10,5,0,1,7,43,276,287,0,0,0,0,0
management,288,202,admin/config/search/path/patterns,admin/config/search/path/patterns,Patterns,b'a:0:{}',system,-1,0,0,0,10,5,0,1,7,43,202,288,0,0,0,0,0
management,289,277,admin/config/search/xmlsitemap/rebuild,admin/config/search/xmlsitemap/rebuild,Rebuild links,"b'a:1:{s:10:""attributes"";a:1:{s:5:""title"";s:21:""Rebuild the site map."";}}'",system,-1,0,0,0,20,5,0,1,7,43,277,289,0,0,0,0,0
management,290,276,admin/config/search/search_api/page,admin/config/search/search_api/page,Search pages,"b'a:1:{s:10:""attributes"";a:1:{s:5:""title"";s:34:""Create and configure search pages."";}}'",system,-1,0,1,0,0,5,0,1,7,43,276,290,0,0,0,0,0
management,291,202,admin/config/search/path/settings,admin/config/search/path/settings,Settings,b'a:0:{}',system,-1,0,0,0,20,5,0,1,7,43,202,291,0,0,0,0,0
management,292,277,admin/config/search/xmlsitemap/settings,admin/config/search/xmlsitemap/settings,Settings,b'a:0:{}',system,-1,0,1,0,10,5,0,1,7,43,277,292,0,0,0,0,0
